date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:29:47	65100/65100	---M--	200	added ('OK')	image/jpeg	etag:%22595dc504-fe4c%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/14818362455_4088104429_k-600x600.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/14818362455_4088104429_k-600x600.jpg	(from http://glanz.starkethemes.com/home-3-golden-badges/)
19:29:50	2283/2283	---MCZ	200	added ('OK')	application/json	date:Sat,%2020%20Nov%202021%2012:29:48%20GMT	http://glanz.starkethemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fglanz.starkethemes.com%2Fhome-4-great-flowers%2F	F:/httrack/wt/glanz.starkethemes.com/wp-json/oembed/1.0/embedb70d.json	(from http://glanz.starkethemes.com/home-4-great-flowers/)
19:29:51	2382/2382	---MCZ	200	added ('OK')	text/xml	date:Sat,%2020%20Nov%202021%2012:29:49%20GMT	http://glanz.starkethemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fglanz.starkethemes.com%2Fhome-4-great-flowers%2F&format=xml	F:/httrack/wt/glanz.starkethemes.com/wp-json/oembed/1.0/embed3afc	(from http://glanz.starkethemes.com/home-4-great-flowers/)
19:30:35	270364/270364	---M--	200	added ('OK')	image/jpeg	etag:%22595dc502-4201c%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/14814210441_d5f33a00f1_k-1400x933.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/14814210441_d5f33a00f1_k-1400x933.jpg	(from http://glanz.starkethemes.com/home-4-great-flowers/)
19:30:37	2283/2283	---MCZ	200	added ('OK')	application/json	date:Sat,%2020%20Nov%202021%2012:30:35%20GMT	http://glanz.starkethemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fglanz.starkethemes.com%2Fhome-5-great-flowers%2F	F:/httrack/wt/glanz.starkethemes.com/wp-json/oembed/1.0/embed15c0.json	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:30:38	2382/2382	---MCZ	200	added ('OK')	text/xml	date:Sat,%2020%20Nov%202021%2012:30:36%20GMT	http://glanz.starkethemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fglanz.starkethemes.com%2Fhome-5-great-flowers%2F&format=xml	F:/httrack/wt/glanz.starkethemes.com/wp-json/oembed/1.0/embed27bc	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:30:51	76773/76773	---M--	200	added ('OK')	image/jpeg	etag:%22595dc508-12be5%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15499168455_d3a42471c3_k-1400x933.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15499168455_d3a42471c3_k-1400x933.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:30:57	458784/458784	---M--	200	added ('OK')	image/jpeg	etag:%22595dc503-70020%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/14815470541_082c1294ad_k-1400x933.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/14815470541_082c1294ad_k-1400x933.jpg	(from http://glanz.starkethemes.com/home-3-golden-badges/)
19:31:01	55914/55914	---M--	200	added ('OK')	image/gif	etag:%22595dc72f-da6a%22	http://glanz.starkethemes.com/wp-content/themes/glanztheme/images/animations/savethedate.gif	F:/httrack/wt/glanz.starkethemes.com/wp-content/themes/glanztheme/images/animations/savethedate.gif	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:31:20	135931/135931	---M--	200	added ('OK')	image/jpeg	etag:%22595dc505-212fb%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15312348718_b61a0d7db8_k-1400x933.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15312348718_b61a0d7db8_k-1400x933.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
